Abstract,Link
"A review of recent theoretical work on the interactions of supermassive
single and binary black holes with their nuclear environments, highlighting
ways in which the observed structure of nuclei can be used to constrain the
formation history of black holes.",http://arxiv.org/abs/astro-ph/0409290v2
"Primordial stars are likely to be very massive $\geq30\Msun$, form in
isolation, and will likely leave black holes as remnants in the centers of
their host dark matter halos in the mass range
  $10^{6}-10^{10}\Ms$. Such early black holes, at redshifts z$\gtsim10$, could
be the seed black holes for the many supermassive black holes found in galaxies
in the local universe. If they exist, their mergers with nearby supermassive
black holes may be a prime signal for long wavelength gravitational wave
detectors. We simulate formation of black holes in the center of high redshift
dark matter halos and explore implications of initial natal kick velocities
conjectured by some formation models. The central concentration of early black
holes in present day galaxies is reduced if they are born even with moderate
kicks of tens of km/s. The modest kicks allow the black holes to leave their
parent halo, which consequently leads to dynamical friction being less
effective on the lower mass black holes as compared to those still embedded in
their parent halos. Therefore, merger rates may be reduced by more than an
order of magnitude. Using analytical and illustrative cosmological N--body
simulations we quantify the role of natal kicks of black holes formed from
massive metal free stars on their merger rates with supermassive black holes in
present day galaxies. Our results also apply to black holes ejected by the
gravitational slingshot mechanism.",http://arxiv.org/abs/astro-ph/0512123v2
"In this article we consider the growth of seed black holes immersed in dark
matter halos. We first investigate the adiabatic growth in various initial
distribution functions (isothermal, power law, and NFW) and find the resulting
density, radial velocity, and anisotropy profiles. In addition we estimate the
growth rate for a given black hole mass in the corresponding adiabatically
modified dark matter distribution function. Only in the isothermal case is
there a convincing black hole mass-age relation. By calculating the line of
sight velocity dispersion for the various cases as a function of the black hole
mass, we find the predicted adiabatic $M_{bh}-\sigma$ relation; this never
approaches the recently observed power law. We conclude by abandoning
adiabaticity, suggesting that the black hole grows proportionally to the dark
matter halo itself on a dynamic time scale. This allows us to relate the
observed $M_{bh}-\sigma$ relation to the cosmological power spectrum on
galactic scales by using dimensional scaling arguments.",http://arxiv.org/abs/astro-ph/0201153v1
"We discuss the hypothesis that the cosmological baryon asymmetry and entropy
were produced in the early Universe by the primordial black hole (PBHs)
evaporation.",http://arxiv.org/abs/astro-ph/0009407v1
"The first massive astrophysical black holes likely formed at high redshifts
(z>10) at the centers of low mass (~10^6 Msun) dark matter concentrations.
These black holes grow by mergers and gas accretion, evolve into the population
of bright quasars observed at lower redshifts, and eventually leave the
supermassive black hole remnants that are ubiquitous at the centers of galaxies
in the nearby universe. The astrophysical processes responsible for the
formation of the earliest seed black holes are poorly understood. The purpose
of this review is threefold: (1) to describe theoretical expectations for the
formation and growth of the earliest black holes within the general paradigm of
hierarchical cold dark matter cosmologies, (2) to summarize several relevant
recent observations that have implications for the formation of the earliest
black holes, and (3) to look into the future and assess the power of
forthcoming observations to probe the physics of the first active galactic
nuclei.",http://arxiv.org/abs/astro-ph/0403225v1
"Primordial stars are likely to be very massive >30 Msun, form in isolation,
and will likely leave black holes as remnants in the centers of their host dark
matter halos. We expect primordial stars to form in halos in the mass range
10^6-10^10 Msun. Some of these early black holes, formed at redshifts z>10,
could be the seed black hole for a significant fraction of the supermassive
black holes found in galaxies in the local universe. If the black hole
descendants of the primordial stars exist, their mergers with nearby
supermassive black holes may be a prime candidate for long wavelength
gravitational wave detectors. We simulate formation and evolution of dark
matter halos in LambdaCDM universe. We seed high-redshift dark matter halos
with early black holes, and explore the merger history of the host halos and
the implications of black hole's kick velocities arising from their
coalescence. The central concentration of low mass early black holes in present
day galaxies is reduced if they experience even moderate kicks of tens of km/s.
Even such modest kicks allow the black holes to leave their parent halo, which
consequently leads to dynamical friction being less effective on the low mass
black holes that were ejected, compared to those still embedded in their parent
halos. Therefore, merger rates with central supermassive black holes in the
largest halos may be reduced by more than an order of magnitude. Using
analytical and illustrative cosmological N-body simulations, we quantify the
role of kicks on the merger rates of black holes formed from massive metal free
stars with supermassive black holes in present day galaxies.",http://arxiv.org/abs/astro-ph/0609443v2
"If the cosmological dark matter has a component made of small primordial
black holes, they may have a significant impact on the physics of the first
stars and on the subsequent formation of massive black holes. Primordial black
holes would be adiabatically contracted into these stars and then would sink to
the stellar center by dynamical friction, creating a larger black hole which
may quickly swallow the whole star. If these primordial black holes are heavier
than $\sim 10^{22} {\rm g}$, the first stars would likely live only for a very
short time and would not contribute much to the reionization of the universe.
They would instead become $10 - 10^3 M_\odot$ black holes which (depending on
subsequent accretion) could serve as seeds for the super--massive black holes
seen at high redshifts as well as those inside galaxies today.",http://arxiv.org/abs/0812.0585v2
"The relativistic accretion rate of dark matter by a black hole is revisited.
Under the assumption that the phase space density indicator,
$Q=\rho_{\infty}/\sigma^3_{\infty}$, remains constant during the inflow, the
derived accretion rate can be higher up to five orders of magnitude than the
classical accretion formula, valid for non-relativistic and non-interacting
particles, when typical dark halo conditions are considered. For these typical
conditions, the critical point of the flow is located at distances of about
30-150 times the horizon radius. Application of our results to black hole seeds
hosted by halos issued from cosmological simulations indicate that dark matter
contributes to no more than ~10% of the total accreted mass, confirming that
the bolometric quasar luminosity is related to the baryonic accretion history
of the black hole.",http://arxiv.org/abs/0802.2041v1
"If the cosmological dark matter is primarily in the form of an elementary
particle which has cross section and mass for self-interaction having a ratio
similar to that of ordinary nuclear matter, then seed black holes (formed in
stellar collapse) will grow in a Hubble time, due to accretion of the dark
matter, to a mass range 10^6 - 10^9 solar masses. Furthermore, the dependence
of the final black hole mass on the galaxy velocity dispersion will be
approximately as observed and the growth rate will show a time dependence
consistent with observations. Other astrophysical consequences of collisional
dark matter and tests of the idea are noted.",http://arxiv.org/abs/astro-ph/9912548v2
"Supermassive black holes (SMBHs) are nowadays believed to reside in most
local galaxies, and the available data show an empirical correlation between
bulge luminosity - or stellar velocity dispersion - and black hole mass,
suggesting a single mechanism for assembling black holes and forming spheroids
in galaxy halos. The evidence is therefore in favour of a co-evolution between
galaxies, black holes and quasars. In cold dark matter cosmogonies, small-mass
subgalactic systems form first to merge later into larger and larger
structures. In this paradigm galaxy halos experience multiple mergers during
their lifetime. If every galaxy with a bulge hosts a SMBH in its center, and a
local galaxy has been made up by multiple mergers, then a black hole binary is
a natural evolutionary stage. The evolution of the supermassive black hole
population clearly has to be investigated taking into account both the
cosmological framework and the dynamical evolution of SMBHs and their hosts.
The seeds of SMBHs have to be looked for in the early Universe, as very
luminous quasars are detected up to redshift higher than z=6. These black holes
evolve then in a hierarchical fashion, following the merger hierarchy of their
host halos. Accretion of gas, traced by quasar activity, plays a fundamental
role in determining the two parameters defining a black hole: mass and spin. A
particularly intriguing epoch is the initial phase of SMBH growth. It is very
challenging to meet the observational constraints at z=6 if BHs are not fed at
very high rates in their infancy.",http://arxiv.org/abs/astro-ph/0602630v1
