Abstract,Link,Label
a review of recent theoretical work on the interactions of supermassive single and binary black holes with their nuclear environments highlighting ways in which the observed structure of nuclei can be used to constrain the formation history of black holes,http://arxiv.org/abs/astro-ph/0409290v2,Astronomy
primordial stars are likely to be very massive geq30msun form in isolation and will likely leave black holes as remnants in the centers of their host dark matter halos in the mass range 1061010ms such early black holes at redshifts zgtsim10 could be the seed black holes for the many supermassive black holes found in galaxies in the local universe if they exist their mergers with nearby supermassive black holes may be a prime signal for long wavelength gravitational wave detectors we simulate formation of black holes in the center of high redshift dark matter halos and explore implications of initial natal kick velocities conjectured by some formation models the central concentration of early black holes in present day galaxies is reduced if they are born even with moderate kicks of tens of kms the modest kicks allow the black holes to leave their parent halo which consequently leads to dynamical friction being less effective on the lower mass black holes as compared to those still embedded in their parent halos therefore merger rates may be reduced by more than an order of magnitude using analytical and illustrative cosmological nbody simulations we quantify the role of natal kicks of black holes formed from massive metal free stars on their merger rates with supermassive black holes in present day galaxies our results also apply to black holes ejected by the gravitational slingshot mechanism,http://arxiv.org/abs/astro-ph/0512123v2,Astronomy
in this article we consider the growth of seed black holes immersed in dark matter halos we first investigate the adiabatic growth in various initial distribution functions isothermal power law and nfw and find the resulting density radial velocity and anisotropy profiles in addition we estimate the growth rate for a given black hole mass in the corresponding adiabatically modified dark matter distribution function only in the isothermal case is there a convincing black hole massage relation by calculating the line of sight velocity dispersion for the various cases as a function of the black hole mass we find the predicted adiabatic mbhsigma relation this never approaches the recently observed power law we conclude by abandoning adiabaticity suggesting that the black hole grows proportionally to the dark matter halo itself on a dynamic time scale this allows us to relate the observed mbhsigma relation to the cosmological power spectrum on galactic scales by using dimensional scaling arguments,http://arxiv.org/abs/astro-ph/0201153v1,Astronomy
we discuss the hypothesis that the cosmological baryon asymmetry and entropy were produced in the early universe by the primordial black hole pbhs evaporation,http://arxiv.org/abs/astro-ph/0009407v1,Astronomy
the first massive astrophysical black holes likely formed at high redshifts z10 at the centers of low mass 106 msun dark matter concentrations these black holes grow by mergers and gas accretion evolve into the population of bright quasars observed at lower redshifts and eventually leave the supermassive black hole remnants that are ubiquitous at the centers of galaxies in the nearby universe the astrophysical processes responsible for the formation of the earliest seed black holes are poorly understood the purpose of this review is threefold 1 to describe theoretical expectations for the formation and growth of the earliest black holes within the general paradigm of hierarchical cold dark matter cosmologies 2 to summarize several relevant recent observations that have implications for the formation of the earliest black holes and 3 to look into the future and assess the power of forthcoming observations to probe the physics of the first active galactic nuclei,http://arxiv.org/abs/astro-ph/0403225v1,Astronomy
primordial stars are likely to be very massive 30 msun form in isolation and will likely leave black holes as remnants in the centers of their host dark matter halos we expect primordial stars to form in halos in the mass range 1061010 msun some of these early black holes formed at redshifts z10 could be the seed black hole for a significant fraction of the supermassive black holes found in galaxies in the local universe if the black hole descendants of the primordial stars exist their mergers with nearby supermassive black holes may be a prime candidate for long wavelength gravitational wave detectors we simulate formation and evolution of dark matter halos in lambdacdm universe we seed highredshift dark matter halos with early black holes and explore the merger history of the host halos and the implications of black holes kick velocities arising from their coalescence the central concentration of low mass early black holes in present day galaxies is reduced if they experience even moderate kicks of tens of kms even such modest kicks allow the black holes to leave their parent halo which consequently leads to dynamical friction being less effective on the low mass black holes that were ejected compared to those still embedded in their parent halos therefore merger rates with central supermassive black holes in the largest halos may be reduced by more than an order of magnitude using analytical and illustrative cosmological nbody simulations we quantify the role of kicks on the merger rates of black holes formed from massive metal free stars with supermassive black holes in present day galaxies,http://arxiv.org/abs/astro-ph/0609443v2,Astronomy
if the cosmological dark matter has a component made of small primordial black holes they may have a significant impact on the physics of the first stars and on the subsequent formation of massive black holes primordial black holes would be adiabatically contracted into these stars and then would sink to the stellar center by dynamical friction creating a larger black hole which may quickly swallow the whole star if these primordial black holes are heavier than sim 1022 rm g the first stars would likely live only for a very short time and would not contribute much to the reionization of the universe they would instead become 10 103 modot black holes which depending on subsequent accretion could serve as seeds for the supermassive black holes seen at high redshifts as well as those inside galaxies today,http://arxiv.org/abs/0812.0585v2,Astronomy
the relativistic accretion rate of dark matter by a black hole is revisited under the assumption that the phase space density indicator qrhoinftysigma3infty remains constant during the inflow the derived accretion rate can be higher up to five orders of magnitude than the classical accretion formula valid for nonrelativistic and noninteracting particles when typical dark halo conditions are considered for these typical conditions the critical point of the flow is located at distances of about 30150 times the horizon radius application of our results to black hole seeds hosted by halos issued from cosmological simulations indicate that dark matter contributes to no more than 10 of the total accreted mass confirming that the bolometric quasar luminosity is related to the baryonic accretion history of the black hole,http://arxiv.org/abs/0802.2041v1,Astronomy
if the cosmological dark matter is primarily in the form of an elementary particle which has cross section and mass for selfinteraction having a ratio similar to that of ordinary nuclear matter then seed black holes formed in stellar collapse will grow in a hubble time due to accretion of the dark matter to a mass range 106 109 solar masses furthermore the dependence of the final black hole mass on the galaxy velocity dispersion will be approximately as observed and the growth rate will show a time dependence consistent with observations other astrophysical consequences of collisional dark matter and tests of the idea are noted,http://arxiv.org/abs/astro-ph/9912548v2,Astronomy
supermassive black holes smbhs are nowadays believed to reside in most local galaxies and the available data show an empirical correlation between bulge luminosity or stellar velocity dispersion and black hole mass suggesting a single mechanism for assembling black holes and forming spheroids in galaxy halos the evidence is therefore in favour of a coevolution between galaxies black holes and quasars in cold dark matter cosmogonies smallmass subgalactic systems form first to merge later into larger and larger structures in this paradigm galaxy halos experience multiple mergers during their lifetime if every galaxy with a bulge hosts a smbh in its center and a local galaxy has been made up by multiple mergers then a black hole binary is a natural evolutionary stage the evolution of the supermassive black hole population clearly has to be investigated taking into account both the cosmological framework and the dynamical evolution of smbhs and their hosts the seeds of smbhs have to be looked for in the early universe as very luminous quasars are detected up to redshift higher than z6 these black holes evolve then in a hierarchical fashion following the merger hierarchy of their host halos accretion of gas traced by quasar activity plays a fundamental role in determining the two parameters defining a black hole mass and spin a particularly intriguing epoch is the initial phase of smbh growth it is very challenging to meet the observational constraints at z6 if bhs are not fed at very high rates in their infancy,http://arxiv.org/abs/astro-ph/0602630v1,Astronomy
understanding how seed black holes grow into intermediate and supermassive black holes imbhs and smbhs respectively has important implications for the dutycycle of active galactic nuclei agn galaxy evolution and gravitational wave astronomy most studies of the cosmological growth and merger history of black holes have used semianalytic models and have concentrated on smbh growth in luminous galaxies using high resolution cosmological nbody simulations we track the assembly of black holes over a large range of final masses from seed black holes to smbhs over widely varying dynamical histories we used the dynamics of dark matter halos to track the evolution of seed black holes in three different gas accretion scenarios we have found that growth of sagittarius a size smbh reaches its maximum mass msmbh106msun at z6 through early gaseous accretion episodes after which it stays at near constant mass at the same redshift the dutycycle of the host agn ends hence redshift z6 marks the transition from an agn to a starburst galaxy which eventually becomes the milky way by tracking black hole growth as a function of time and mass we estimate that the imbh merger rate reaches a maximum of rmax55 yr1 at z11 from imbh merger rates we calculate nulx7 per milky way type galaxy per redshift in redshift range 2z6,http://arxiv.org/abs/astro-ph/0703540v1,Astronomy
